Equations,Slope,Intercept,Equation ID,x (Thickness),y (Thermal Conductivity Profile),Tdelay,ModelRatio
y = 0.0472x + 10,0.0472,10,2,80,13.7778,515.473364,2.378721
y = 0.0472x + 10,0.0472,10,2,80,13.7778,547.752335,2.362322
y = 0.0472x + 10,0.0472,10,2,80,13.7778,582.052617,2.347364
y = 0.0472x + 10,0.0472,10,2,80,13.7778,618.500784,2.329373
y = 0.0472x + 10,0.0472,10,2,80,13.7778,657.231338,2.312027
y = 0.0472x + 10,0.0472,10,2,80,13.7778,698.387201,2.29349
y = 0.0472x + 10,0.0472,10,2,80,13.7778,742.120246,2.275347
y = 0.0472x + 10,0.0472,10,2,80,13.7778,788.591858,2.254402
y = 0.0472x + 10,0.0472,10,2,80,13.7778,837.973524,2.233627
y = 0.0472x + 10,0.0472,10,2,80,13.7778,890.447473,2.212311
y = 0.0472x + 10,0.0472,10,2,80,13.7778,946.207343,2.189805
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1005.4589,2.166571
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1068.420792,2.14169
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1135.325362,2.116983
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1206.419499,2.09054
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1281.965555,2.063841
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1362.24231,2.035846
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1447.546,2.006315
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1538.191411,1.97643
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1634.513043,1.94613
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1736.866341,1.914048
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1845.629008,1.881648
y = 0.0472x + 10,0.0472,10,2,80,13.7778,1961.202399,1.848325
y = 0.0472x + 10,0.0472,10,2,80,13.7778,2084.013003,1.814105
y = 0.0472x + 10,0.0472,10,2,80,13.7778,2214.514014,1.77893
y = 0.0472x + 10,0.0472,10,2,80,13.7778,2353.187005,1.743141
y = 0.0472x + 10,0.0472,10,2,80,13.7778,2500.543706,1.706348
y = 0.0472x + 10,0.0472,10,2,80,13.7778,2657.127893,1.668817
y = 0.0472x + 10,0.0472,10,2,80,13.7778,2823.517389,1.63121
y = 0.0472x + 10,0.0472,10,2,80,13.7778,3000.326206,1.592551
y = 0.0472x + 10,0.0472,10,2,80,13.7778,3188.2068,1.553315
y = 0.0472x + 10,0.0472,10,2,80,13.7778,3387.852488,1.51381
y = 0.0472x + 10,0.0472,10,2,160,17.5556,100.0,2.60012
y = 0.0472x + 10,0.0472,10,2,160,17.5556,106.262006,2.599442
y = 0.0472x + 10,0.0472,10,2,160,17.5556,112.916138,2.598028
y = 0.0472x + 10,0.0472,10,2,160,17.5556,119.986953,2.587874
y = 0.0472x + 10,0.0472,10,2,160,17.5556,127.500543,2.583688
y = 0.0472x + 10,0.0472,10,2,160,17.5556,135.484634,2.582625
y = 0.0472x + 10,0.0472,10,2,160,17.5556,143.968689,2.578887
y = 0.0472x + 10,0.0472,10,2,160,17.5556,152.984017,2.573008
y = 0.0472x + 10,0.0472,10,2,160,17.5556,162.563884,2.566808
y = 0.0472x + 10,0.0472,10,2,160,17.5556,172.743644,2.560923
y = 0.0472x + 10,0.0472,10,2,160,17.5556,183.56086,2.554971
y = 0.0472x + 10,0.0472,10,2,160,17.5556,195.055452,2.547541
